,Disclosures,LegalProceedings,MDA,RiskFactors,Combined
2001-01-31,0.9997476113751871,0.9998865752246056,0.9997876022196576,1.000757913161538,0.9994639684185614
2001-02-28,0.999920520657568,0.9998213696552744,0.9998901175698316,1.0034883756001485,0.9998422239638002
2001-03-31,0.9998996849433995,0.9997687568213938,1.0000864622445225,1.003199993533699,0.9999882969192688
2001-04-30,0.9999577415407999,1.0000457209522584,0.9999906327956789,1.0050510998845892,1.0003122606204635
2001-05-31,1.0000876765024493,1.0001654740371535,1.0000145939887082,1.0069100641345774,1.0006647650892047
2001-06-30,1.0003201910322577,0.9999177559657496,1.0001230250537505,1.0085550824811635,1.000800932755326
2001-07-31,1.0005407575452234,0.9996750674097515,1.000079717188196,1.0091557095367485,1.0007301288767851
2001-08-31,1.0006305622861835,0.9996484129050521,1.0001062805056093,1.01134093940955,1.0009317335965258
2001-09-30,1.0004223346003205,0.9996514529926248,0.9999833495791018,1.0083818089741121,1.0005202166766891
2001-10-31,1.000621785461189,0.9999473311810676,1.0002651240426101,1.0105138949051458,1.001345843792899
2001-11-30,1.0008325963156794,1.00012698664623,1.0005676639269354,1.0127136162426904,1.0020986605580477
2001-12-31,1.0009527379609517,1.0003707740948677,1.0005675446067313,1.016402822699214,1.0025484229050337
2002-01-31,1.0010413248661396,1.0001909083350409,1.0008281390013998,1.0171594973588207,1.0027540261575583
2002-02-28,1.0013416715827501,1.0002859328360985,1.0009901468112852,1.0202856427601634,1.003365026917808
2002-03-31,1.001334850421304,1.0003886742765578,1.0011660387076442,1.0246295790855902,1.003746617040545
2002-04-30,1.0013644396356192,1.000135992061655,1.0010957129346372,1.0253771623710477,1.003442459897757
2002-05-31,1.0012084650222814,1.000010769768927,1.0011754297691555,1.0268468244736093,1.003267683810514
2002-06-30,1.0012317592786004,0.9998390591058689,1.0010684351308152,1.0271603723347207,1.0030143712393291
2002-07-31,1.001102872310777,0.9997866449671667,1.0009949213817786,1.025543681994827,1.0027039599234675
2002-08-31,1.0009929015997698,0.9998178422982709,1.0011759993071032,1.0244063635444929,1.0027371237543894
2002-09-30,1.00121731000883,0.9997650775702451,1.0012345545821089,1.02385520667814,1.0029546540654697
2002-10-31,1.0011307564194636,0.9997662675654192,1.001391495177326,1.0243197875084527,1.0029961349139507
2002-11-30,1.0008745475060505,0.9995306029504166,1.0014694254985488,1.0280532496183086,1.0026209714129442
2002-12-31,1.00103133020464,0.9998803371930807,1.0015597206814968,1.0302941252906628,1.0032781708076506
2003-01-31,1.001155096321813,0.9998243949133497,1.0014455190207574,1.029916823009812,1.0032351983052297
2003-02-28,1.0009983898985284,0.9998711397982297,1.001273233896621,1.0288871791547765,1.0029148206846887
2003-03-31,1.0009843202466988,0.99974917301259,1.0012570459116492,1.0306617484887786,1.002795489610598
2003-04-30,1.0011031480328212,0.9998138312748799,1.0012737395083382,1.0319923084371245,1.003029371312193
2003-05-31,1.001070360058324,0.9999839040905093,1.001189840226553,1.035986232512215,1.0031588144035004
2003-06-30,1.0011268065658716,0.9999959036367954,1.0013152244838102,1.0365087365573251,1.0033565628221661
2003-07-31,1.001145354316324,0.9999962554191402,1.0014007547151311,1.0366836839360436,1.0034549445116092
2003-08-31,1.0012941416235495,1.000079917741215,1.0014808941420532,1.0376660639647186,1.0038167932108588
2003-09-30,1.0014095676697607,1.0001302714324047,1.0013891918374143,1.038293837325114,1.0039531089445772
2003-10-31,1.0015078888106481,1.000080793598695,1.0013651060991853,1.0390822031435536,1.004016129495646
2003-11-30,1.0015640141956896,1.0001160788694419,1.0014817952236954,1.0396210010374816,1.00422385449618
2003-12-31,1.0017740645911988,1.0002769017226638,1.0017019903771065,1.0414229933363321,1.0048935396589633
2004-01-31,1.0016921196650796,1.0001280069020992,1.0016617480450853,1.0418892482684723,1.0046263249631466
2004-02-29,1.0017648122402651,1.0000794621482174,1.0018702850234968,1.042887686126108,1.0049163085069914
2004-03-31,1.0017801698801623,1.0000033671568267,1.0018401716770493,1.0445484518765233,1.0048794515360384
2004-04-30,1.001854706508112,0.9999409076649503,1.001936572418095,1.0450505763872486,1.0050008247779365
2004-05-31,1.0018308307009707,0.9999078675807714,1.001881731359111,1.0455333106814624,1.0049024124099373
2004-06-30,1.0018413811922515,0.9999678347549009,1.001961629219552,1.0470356942241759,1.0051107300867341
2004-07-31,1.0018026336020707,0.9999687600696298,1.0018818500127027,1.0466154093654536,1.0049980717910918
2004-08-31,1.0019618695989736,1.0000404545088262,1.001696655656691,1.046560151760853,1.0051315854640082
2004-09-30,1.001969918262562,1.0000287380079498,1.0018213230961466,1.0473616630264397,1.0052408112215616
2004-10-31,1.001824299219557,0.9998883065757416,1.0015903978689609,1.0471801858382401,1.0047545420738269
2004-11-30,1.0020165257382636,0.9998378572283888,1.0017655577925122,1.0484110994110858,1.0050569258328659
2004-12-31,1.0020275363482682,0.9999239963715786,1.0016225144783815,1.048755755850558,1.0050374525734502
2005-01-31,1.0020567534127063,1.0000552114716454,1.001576758322512,1.0487233403959495,1.0051616732008652
2005-02-28,1.0021249213123087,1.000040472969373,1.001670602869948,1.0480833326439236,1.005285826333143
2005-03-31,1.0021142466901516,1.0000265245373685,1.0017273352692408,1.0488802271687772,1.0053404910924044
2005-04-30,1.0021097896809825,0.9999078109439594,1.0017453636885565,1.0484649770181773,1.0052022524070083
2005-05-31,1.0021268720845107,0.9998607930265189,1.001645001503509,1.0494086532439626,1.0051036988006081
2005-06-30,1.0022620393024053,0.9998058894203334,1.0015538066336398,1.0492727523439707,1.0051185425549034
2005-07-31,1.0021963436233274,0.9997398779312091,1.001423668342,1.0492950385373718,1.0048858633777626
2005-08-31,1.0022259788785566,0.9997420908978266,1.0013917048633014,1.0489208919433022,1.004887776950278
2005-09-30,1.002303637519983,0.9998541387787083,1.0014120464085376,1.0482147387256557,1.0050893048885512
2005-10-31,1.0022048066786668,0.9997737932819484,1.0014641139839182,1.0477556805477877,1.0049091075161958
2005-11-30,1.0020705430642323,0.9997908441334983,1.0014973297614478,1.047725403816994,1.0048150411002048
2005-12-31,1.0021412821077365,0.999785094094756,1.0013566975313741,1.047618427519444,1.0047633067209747
2006-01-31,1.0021726386476915,0.9998687497029805,1.0014015959135272,1.0474514318265062,1.004927794599703
2006-02-28,1.0020741910063538,0.999927870083846,1.0014890502468634,1.0474692081190347,1.004963044685041
2006-03-31,1.0019944285084141,0.9999552055886489,1.001465126898858,1.0475317815264742,1.004917253761997
2006-04-30,1.0020544429177922,0.999951824292287,1.001618499109282,1.0475132600908643,1.005039759925776
2006-05-31,1.0020965829807928,0.9999226425693956,1.0016560164734294,1.047603691540597,1.0051505891682457
2006-06-30,1.0021571406578234,0.9999295773805218,1.0017308769243618,1.0476575095952882,1.0052941693409327
2006-07-31,1.0020632034365338,0.9999890842295707,1.0016635820593525,1.0478493217639806,1.0054428802902633
2006-08-31,1.0020493922959615,1.0000228871266468,1.0016670408132107,1.0477040953333063,1.0053162692792499
2006-09-30,1.0021841465723824,0.9999717614563709,1.0017979023798156,1.0478218558346513,1.0055520002362257
2006-10-31,1.001989173968674,0.99990781156068,1.0016870019813797,1.0478630358888168,1.005326729235861
2006-11-30,1.0020394157952985,0.9998168207643793,1.0017050149971252,1.0478628739663174,1.005296420380912
2006-12-31,1.0021587212571152,0.9998792112541518,1.001733033625643,1.047988072707078,1.005551001242042
2007-01-31,1.0022295576145652,0.9999582653992088,1.0018072718259483,1.0481481038582658,1.0058591310825014
2007-02-28,1.0023124781453276,0.9999180170170195,1.0018697815245314,1.0481439427330248,1.0059168073393896
2007-03-31,1.002296996008924,0.9999930222879856,1.0019345854883188,1.04817668455866,1.0060269290858024
2007-04-30,1.002257121922065,1.0000037447742378,1.0018037040452057,1.0481740467239165,1.005935009499675
2007-05-31,1.0023036923760336,1.0000330541245044,1.0018693114162929,1.0482509420387045,1.0060978488881331
2007-06-30,1.002337245947374,1.0001338007799276,1.001905477975066,1.0481548659332327,1.0061176051544112
2007-07-31,1.0022406625770317,1.000109412646789,1.0018037699989353,1.0479774566553908,1.0057864993134744
2007-08-31,1.0022483618580609,1.0000548527521185,1.0017458538838817,1.0479486619695726,1.0056917884126195
2007-09-30,1.0021674146036696,1.0000931464258125,1.0016244809677253,1.0477921141603657,1.0054416837067046
2007-10-31,1.002139885119744,1.0001610026534822,1.0014724445347414,1.0479304825049556,1.0055953349930198
2007-11-30,1.002083459589475,1.0002624089146412,1.0015088043038258,1.0479018671182003,1.0056239170887087
2007-12-31,1.002074026047933,1.0001915997226907,1.0015210552526186,1.0478539963134657,1.0055184484072799
2008-01-31,1.0021940440268495,1.000275603225489,1.0017038858645673,1.048165973698802,1.0060868195510215
2008-02-29,1.002099278877301,1.0001544430949476,1.0017761836537806,1.0482246264294792,1.00601941367257
2008-03-31,1.0019648179620302,0.9998726807319686,1.0018076184602764,1.0481604446724964,1.0056736150443795
2008-04-30,1.0020628350674539,0.9997903164842946,1.0017602336714309,1.0481264243872583,1.005620942471841
2008-05-31,1.002065255724349,0.9997021229512862,1.001774195496138,1.0480640419244884,1.0055058264391001
2008-06-30,1.0019195551360869,0.99969633399429,1.0018266738197983,1.0481649710172032,1.0055108004011637
2008-07-31,1.0018342889904788,0.9999502014570031,1.001902954848795,1.0483658380183003,1.0059266750299387
2008-08-31,1.0019156677185255,0.9999570116228671,1.001804391299998,1.0483146426312873,1.005911113092954
2008-09-30,1.0018262929473913,0.9999585399776443,1.0020603247909419,1.0482672676199598,1.005886177610884
2008-10-31,1.0020593647090172,1.0000434857080556,1.0019432148694125,1.048174570174654,1.006009105999177
2008-11-30,1.0021179995908303,1.0002905981513956,1.0022629282127598,1.0483071848340342,1.0065547749261783
2008-12-31,1.0017410612484694,1.0003552676986402,1.0020414255362298,1.0483430079060332,1.006265544560841
2009-01-31,1.001374012928487,1.0004171177906143,1.0016355914053519,1.048414590336163,1.0059396478359404
2009-02-28,1.001398063499879,1.0002385531837514,1.0018082492757643,1.048134126534235,1.0056258521439103
2009-03-31,1.0013401895100207,1.0002858282400373,1.0016662964623457,1.0480311218293985,1.0054609102449188
